Track ID,Track Name,Artist Name,Album Name,Release Date,Genre,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature,Track Popularity,User ID,Listen Count,Playlist Count,Skip Count,Like Count,Share Count,Listen Date/Time,Skip Date/Time,User Age,User Gender,User Location
1,Song B,Artist B,Album B,2017-07-21,Jazz,0.27,0.66,3,-0.04,0,0.17,0.18,0.75,0.27,0.58,179.73,62586,4,39,1031,19,6,9,3,0,2023-09-20 03:18,,48,Male,USA
2,Song C,Artist C,Album C,2014-07-16,Classical,0.09,0.04,4,-15.14,1,0.48,0.89,0.04,0.25,0.3,177.33,143407,5,55,1498,19,1,5,2,5,2023-11-21 03:18,,49,Female,Germany
3,Song D,Artist D,Album D,2016-02-08,Classical,0.28,0.31,7,-29.22,1,0.24,0.85,0.82,0.66,0.71,124.29,225507,5,58,1514,7,8,3,5,3,2024-03-01 03:18,,40,Male,USA
4,Song E,Artist E,Album E,2023-02-11,Pop,0.91,0.53,4,-23.62,1,0.22,0.32,0.64,0.07,0.03,134.78,173409,5,24,1997,29,8,0,9,5,2023-10-28 03:18,2023-10-28 03:18,37,Non-Binary,UK
5,Song F,Artist F,Album F,2015-01-28,Classical,0.25,0.71,4,-49.89,1,0.4,0.4,0.18,0.89,0.54,127.74,290616,5,94,1788,3,3,5,0,4,2024-02-14 03:18,2024-02-14 03:18,27,Non-Binary,Canada
6,Song G,Artist G,Album G,2021-10-03,Hip-Hop,0.71,0.41,10,-25.77,1,0.84,0.84,0.81,0.44,0.94,81.21,252497,3,21,1516,10,9,1,2,4,2023-11-01 03:18,,30,Non-Binary,Canada
7,Song H,Artist H,Album H,2016-07-17,Rock,0.7,0.3,8,-46.47,0,0.39,0.55,0.88,0.84,0.62,69.45,266734,4,74,1605,5,2,0,3,2,2024-03-20 03:18,2024-03-20 03:18,29,Non-Binary,Canada
8,Song I,Artist I,Album I,2018-03-21,Hip-Hop,0.22,0.56,1,-13.44,1,0.69,0.85,0.63,0.11,0.87,145.47,247098,3,10,1174,10,6,6,0,5,2023-08-29 03:18,,58,Male,USA
9,Song J,Artist J,Album J,2018-02-13,Jazz,0.49,0.38,2,-3.7,1,0.48,0.56,0.35,0.23,0.67,106.84,99678,4,9,1758,32,6,9,10,1,2024-01-17 03:18,2024-01-17 03:18,40,Male,Canada
10,Song K,Artist K,Album K,2022-04-13,Classical,0.48,0.95,7,-16.05,1,0.85,0.08,0.3,0.8,0.75,74.12,72223,5,62,1887,37,2,8,10,4,2024-03-22 03:18,,61,Male,Australia
